Date,Last Price,Volume,SMAVG (15)

2023-11-21,104.39,5889155,20135744

2023-11-20,104.50,17464016,21222354

2023-11-17,104.96,22991824,21350082

2023-11-16,102.46,22469072,21356762

2023-11-15,103.66,20137560,21110042

2023-11-14,104.29,18260516,21237360

2023-11-13,104.84,15308382,21139066

2023-11-10,103.75,17831340,21330836

2023-11-09,102.96,18380538,21638432

2023-11-08,102.93,19184068,21811228

2023-11-07,104.21,20272486,22090974

2023-11-06,105.87,19097268,22057838

2023-11-03,107.78,30555554,22014820

2023-11-02,109.11,25212686,21997138

2023-11-01,105.64,28984864,22395156

2023-10-31,105.85,22185150,24325434

2023-10-30,105.88,19379916,23772554

2023-10-27,105.55,23092016,23971886

2023-10-26,107.60,18768284,24123582

2023-10-25,108.59,22047320,24214282

2023-10-24,108.39,16786108,24052610

2023-10-23,109.45,18184950,23820006

2023-10-20,111.08,22445268,23567342

2023-10-19,113.02,20972488,23325228

2023-10-18,112.95,23380266,23047604

2023-10-17,111.39,19775440,23087330

2023-10-16,109.95,18451996,22555996

2023-10-13,109.87,30290328,22080264

2023-10-12,106.47,31182956,20940922

2023-10-11,106.49,57939024,19822702

2023-10-10,110.45,13891952,16752314

2023-10-09,110.92,22369888,16664165

2023-10-06,107.17,25367466,16109193

2023-10-05,108.99,20128784,16722588

2023-10-04,111.50,19622226,16394716

2023-10-03,115.83,13297056,15984755

2023-10-02,115.63,14394999,16441335

2023-09-29,117.58,18813564,16440572

2023-09-28,119.47,16808116,16138767

2023-09-27,120.20,23976160,15901462

2023-09-26,116.41,11805429,15191421

2023-09-25,116.23,11316012,15624660

2023-09-22,114.94,13200212,15859824

2023-09-21,114.76,14409635,16145132

2023-09-20,116.40,11883207,15979294

2023-09-19,117.33,12569724,15831414

2023-09-18,117.64,14045311,15685574

2023-09-15,116.70,34568392,15654507

2023-09-14,118.52,15210701,14071179

2023-09-13,116.44,13472800,13819503

2023-09-12,117.49,20145760,13622706

2023-09-11,114.16,14383562,13019147

2023-09-08,115.61,14286483,13141840

2023-09-07,113.95,13248541,13303377

2023-09-06,114.51,13325542,13333149

2023-09-05,113.53,18304012,13438752

2023-09-01,113.52,14843482,13083376

2023-08-31,111.19,17479834,13030280

2023-08-30,110.88,11922060,12920769

2023-08-29,109.81,9665010,13453939

2023-08-28,109.16,10382122,13747310

2023-08-25,108.25,13579304,13882557

2023-08-24,106.35,10818478,13929245

2023-08-23,107.15,11435553,14293554

2023-08-22,108.10,10520842,14430504

2023-08-21,108.71,11092380,14676644

2023-08-18,110.04,16223953,15550505

2023-08-17,108.40,16709544,15640353

2023-08-16,106.34,13695121,15704910

2023-08-15,108.16,14909578,15802543

2023-08-14,111.92,12973383,15749644

2023-08-11,111.83,14047044,15890808

2023-08-10,110.12,15837170,16095771

2023-08-09,109.56,19919600,16089307

2023-08-08,107.73,14065573,15798436

2023-08-07,107.20,12410827,16501918

2023-08-04,107.42,14279634,16878252

2023-08-03,107.12,16283107,17805072

2023-08-02,105.29,13489809,18507988

2023-08-01,106.62,14212939,18491216

2023-07-31,107.24,24200296,18382424

2023-07-28,104.16,17571676,17760912

2023-07-27,105.42,17677888,18051412

2023-07-26,105.09,15159624,18070544

2023-07-25,105.68,14116084,17892650

2023-07-24,105.52,15090856,17444710

2023-07-21,103.89,17121488,17341632

2023-07-20,103.41,15740202,16957828

2023-07-19,101.62,15556541,16780752

2023-07-18,100.92,24617796,16625481

2023-07-17,101.38,18055848,15936522

2023-07-14,100.94,28181920,15928372

2023-07-13,104.54,26826838,14880165

2023-07-12,106.49,13238236,13977425

2023-07-11,105.97,12581080,14262834

2023-07-10,104.69,14877615,16299354

2023-07-07,103.16,21929158,16389121

2023-07-06,102.92,17964884,16035689

2023-07-05,106.91,12491205,15740282

2023-07-03,107.46,7396992,15848546

2023-06-30,107.25,13544664,16172248

2023-06-29,106.70,11364436,16170465

2023-06-28,105.40,13084062,16481309

2023-06-27,104.55,13227486,16423022

2023-06-26,104.29,14283407,16357741

2023-06-23,102.40,17933600,16346317

2023-06-22,103.30,12458807,16054206

2023-06-21,103.87,13285741,16885360

2023-06-20,102.72,17519380,16795512

2023-06-16,105.13,43128872,16452242

2023-06-15,105.89,16224117,14531415

2023-06-14,105.16,16627681,14539160

2023-06-13,106.44,13533780,14390277

2023-06-12,106.42,14115160,14346825

2023-06-09,107.39,12252531,14296456

2023-06-08,108.19,13517919,14279995

2023-06-07,108.53,16027086,14316450

2023-06-06,106.15,12209768,14234657

2023-06-05,105.29,12248272,14335045

2023-06-02,105.76,14112041,14359377

2023-06-01,103.36,13551936,14562967

2023-05-31,102.18,24926116,14651824

2023-05-30,104.04,11938025,13748134

2023-05-26,104.97,12370326,13698116

2023-05-25,105.66,14316463,13871308

2023-05-24,107.59,16340293,14062020

2023-05-23,106.40,14394440,14053490

2023-05-22,104.97,12882000,14715468

2023-05-19,106.26,13359630,15013667

2023-05-18,105.77,12005609,15748488

2023-05-17,104.82,14064742,16033393

2023-05-16,102.52,14800200,16133483

2023-05-15,105.07,13715576,15958791

2023-05-12,105.78,12613254,16099840

2023-05-11,105.79,17165896,16213312

2023-05-10,107.74,14884793,16204835

2023-05-09,109.14,11370769,15924689

2023-05-08,109.11,11187752,16329048

2023-05-05,108.68,14968197,16467221

2023-05-04,106.04,17177150,16238063

2023-05-03,107.93,16212343,15919563

2023-05-02,110.10,24324102,15566675

2023-05-01,114.67,17354988,14728966

2023-04-28,118.34,24381946,14439070

2023-04-27,116.83,16279188,13865471

2023-04-26,115.45,15566086,13878823

2023-04-25,116.52,12179825,13932116

2023-04-24,118.20,15831314,14992640

2023-04-21,116.01,14315329,14898416

2023-04-20,115.64,17038748,14715939

2023-04-19,116.57,10682605,14527964

2023-04-18,116.94,17436140,14552296

2023-04-17,114.70,13260352,14376948

2023-04-14,116.05,11530828,14386645

2023-04-13,115.77,12399652,14576981

2023-04-12,115.23,10919022,14747182

2023-04-11,115.35,11758461,16125401

2023-04-10,114.54,13006552,17477644

2023-04-06,115.05,15777957,19490506

2023-04-05,116.99,16479469,20270384

2023-04-04,115.02,16365489,20887338

2023-04-03,116.13,28087680,21013872

2023-03-31,109.66,14417961,20524402

2023-03-30,109.49,11578171,20616250

2023-03-29,108.96,14219122,20708454

2023-03-28,107.12,11047587,20661168

2023-03-27,105.80,14805911,20693014

2023-03-24,103.53,13405812,20662448

2023-03-23,103.41,14385865,20635840

2023-03-22,104.59,14952666,20366322

2023-03-21,107.04,31592310,20249474

2023-03-20,102.45,32042106,19350456

2023-03-17,99.84,43199472,17995012

2023-03-16,101.03,27476132,16071783

2023-03-15,101.62,25733780,14992668

2023-03-14,106.94,18263512,14208672

2023-03-13,106.54,20745624,13955733

2023-03-10,107.78,15795666,13956580

2023-03-09,109.13,12961244,13660910

2023-03-08,109.98,13509818,13708384

2023-03-07,111.61,11525289,13612996

2023-03-06,113.81,14347410,13813726

2023-03-03,112.81,13006713,14518473

2023-03-02,111.40,10343084,14813979

2023-03-01,110.89,13199955,15355086

2023-02-28,109.91,18107032,15542643

2023-02-27,110.55,11710453,15259188

2023-02-24,110.75,14351036,15826931

2023-02-23,110.74,11289402,16507671

2023-02-22,109.73,13973841,17052702

2023-02-21,111.17,14469431,17978570

2023-02-17,111.28,20758332,18258744

2023-02-16,115.73,11360604,17886802

2023-02-15,116.07,13673360,18530740

2023-02-14,116.42,12078992,18413380

2023-02-13,117.80,14536241,18513648

2023-02-10,119.17,24918616,18650194

2023-02-09,114.35,17439312,18089994

2023-02-08,113.92,18459678,17789240

2023-02-07,114.92,16013314,17651908

2023-02-06,111.73,13855205,17687168

2023-02-03,111.92,20226608,17564244

2023-02-02,111.15,24562124,17239626

2023-02-01,114.74,19464872,16716175

2023-01-31,116.01,27861848,16425490

2023-01-30,113.56,18672052,15765673

2023-01-27,115.61,15179207,15610745

2023-01-26,117.76,21019678,15661901

2023-01-25,113.21,11912947,15464483

2023-01-24,113.81,13583025,15680031

2023-01-23,112.76,16584422,15561138

2023-01-20,113.35,16515614,15157779

2023-01-19,111.32,12928021,14770209

2023-01-18,110.61,16399690,14705812

2023-01-17,112.93,16542201,14381796

2023-01-13,113.15,12011358,14160015

