Date,Last Price,Volume,SMAVG (15)

2023-11-21 16:30:00,104.44,371775,808346

2023-11-21 16:00:00,104.30,744359,859739

2023-11-21 15:30:00,104.455,911573,885479

2023-11-21 15:00:00,103.79,1273556,946715

2023-11-21 14:30:00,103.62,1586863,1028296

2023-11-20 20:30:00,104.52,2116397,986488

2023-11-20 20:00:00,104.965,622219,897727

2023-11-20 19:30:00,104.905,603269,909953

2023-11-20 19:00:00,104.838,721977,927997

2023-11-20 18:30:00,105.04,431792,943215

2023-11-20 18:00:00,104.96,467504,977170

2023-11-20 17:30:00,104.88,511876,1011311

2023-11-20 17:00:00,104.9403,450319,1027536

2023-11-20 16:30:00,105.04,672740,1054161

2023-11-20 16:00:00,104.895,828605,1083510

2023-11-20 15:30:00,105.02,953043,1096714

2023-11-20 15:00:00,105.555,1130457,1208131

2023-11-20 14:30:00,105.50,1830114,1322633

2023-11-17 20:30:00,104.96,2497269,1271067

2023-11-17 20:00:00,105.23,959736,1154063

2023-11-17 19:30:00,105.21,784979,1151416

2023-11-17 19:00:00,105.135,805608,1148988

2023-11-17 18:30:00,105.3799,873929,1172465

2023-11-17 18:00:00,105.15,950252,1157578

2023-11-17 17:30:00,104.97,941116,1145633

2023-11-17 17:00:00,104.83,979620,1158248

2023-11-17 16:30:00,104.4389,755254,1146611

2023-11-17 16:00:00,104.225,849695,1173548

2023-11-17 15:30:00,103.99,1112975,1230376

2023-11-17 15:00:00,103.685,1026660,1280595

2023-11-17 14:30:00,102.94,2624306,1363171

2023-11-16 20:30:00,102.47,2847978,1243651

2023-11-16 20:00:00,102.43,1056620,1136704

2023-11-16 19:30:00,102.175,742209,1129399

2023-11-16 19:00:00,102.005,920043,1119538

2023-11-16 18:30:00,101.745,748548,1092748

2023-11-16 18:00:00,101.785,1157762,1086197

2023-11-16 17:30:00,101.805,650632,1056784

2023-11-16 17:00:00,101.78,771073,1059294

2023-11-16 16:30:00,101.87,1130349,1064725

2023-11-16 16:00:00,102.24,805059,1058546

2023-11-16 15:30:00,102.42,1159314,1081689

2023-11-16 15:00:00,102.34,1702106,1109468

2023-11-16 14:30:00,102.50,1866259,1136586

2023-11-15 20:30:00,103.69,2265304,1072451

2023-11-15 20:00:00,103.775,831506,961564

2023-11-15 19:30:00,103.78,1243773,953565

2023-11-15 19:00:00,104.075,947042,922385

2023-11-15 18:30:00,104.18,594295,903899

2023-11-15 18:00:00,104.345,518200,905233

2023-11-15 17:30:00,104.19,650280,917055

2023-11-15 17:00:00,104.40,716571,917693

2023-11-15 16:30:00,104.725,688274,928337

2023-11-15 16:00:00,104.64,852541,936712

2023-11-15 15:30:00,104.965,1037665,953271

2023-11-15 15:00:00,104.73,1152204,987674

2023-11-15 14:30:00,104.23,1576001,1018219

2023-11-14 20:30:00,104.27,2108881,957081

2023-11-14 20:00:00,104.36,904227,848045

2023-11-14 19:30:00,104.19,602002,817759

2023-11-14 19:00:00,104.11,711520,807424

2023-11-14 18:30:00,104.065,776069,788133

2023-11-14 18:00:00,104.00,669754,766883

2023-11-14 17:30:00,103.9699,614310,756363

2023-11-14 17:00:00,104.11,695524,756722

2023-11-14 16:30:00,104.455,659857,759045

2023-11-14 16:00:00,104.66,876223,755849

2023-11-14 15:30:00,104.63,813909,761516

2023-11-14 15:00:00,104.325,1100913,811620

2023-11-14 14:30:00,104.25,1553718,861151

2023-11-13 20:30:00,104.84,1610374,799489

2023-11-13 20:00:00,104.805,658929,728579

2023-11-13 19:30:00,104.73,473344,728653

2023-11-13 19:00:00,104.725,449943,745262

2023-11-13 18:30:00,104.835,446978,761532

2023-11-13 18:00:00,104.73,422148,780816

2023-11-13 17:30:00,104.81,457325,794496

2023-11-13 17:00:00,104.945,511955,816891

2023-11-13 16:30:00,105.065,619696,847676

2023-11-13 16:00:00,104.915,730369,869160

2023-11-13 15:30:00,104.75,611917,874518

2023-11-13 15:00:00,104.42,961221,947007

2023-11-13 14:30:00,104.47,1565464,1009790
